Original_File,New_File,Publisher,Title,Issue_Number,Publish_Year,Is_Key,Key_Details
Gold Key - Buck Rogers In The 25th Century - 1 - 1964.jpg,Gold_Key-Buck_Rogers_in_the_25th_Century-1-1964.jpg,Gold Key,Buck Rogers in the 25th Century,1,1964,True,First issue of the Gold Key series.
IMG_3260.JPG,Dell-Walt_Disney's_Uncle_Scrooge-1-1952.JPG,Dell,Walt Disney's Uncle Scrooge,1,1952,True,First issue of Uncle Scrooge's solo title.
IMG_3261.JPG,Dell-The_Outer_Limits-One-Shot-1964.JPG,Dell,The Outer Limits,One-Shot,1964,True,First comic book adaptation of the classic TV series The Outer Limits.
IMG_3263.JPG,Dell-Larry_Harmon's_Laurel_and_Hardy-308-1963.JPG,Dell,Larry Harmon's Laurel and Hardy,308,1963,False,None
IMG_3264.JPG,Dell-Bugs_Bunny-One-Shot-1959.JPG,Dell,Bugs Bunny,One-Shot,1959,False,None
IMG_3265.JPG,Dell-The_Masque_of_the_Red_Death-410-1964.JPG,Dell,The Masque of the Red Death,410,1964,False,None
IMG_3266.JPG,"Dell-Walt_Disney's_20,000_Leagues_Under_the_Sea-614-1954.JPG",Dell,"Walt Disney's 20,000 Leagues Under the Sea",614,1954,True,First comic adaptation of the classic Walt Disney film.
IMG_3261.JPG,Dell - The Outer Limits - 412 - 1964.JPG,Dell,The Outer Limits,412,1964,True,First issue of the comic book series based on the popular science fiction television show.
IMG_3260.JPG,Dell - Walt Disney's Uncle Scrooge - One-Shot - 1952.JPG,Dell,Walt Disney's Uncle Scrooge,One-Shot,1952,True,First issue of Uncle Scrooge's solo title.
IMG_3263.JPG,Dell - Larry Harmon's Laurel and Hardy - 308 - 1963.JPG,Dell,Larry Harmon's Laurel and Hardy,308,1963,False,None
IMG_3264.JPG,Dell - Bugs Bunny - 44 - 1955.JPG,Dell,Bugs Bunny,44,1955,False,None
IMG_3265.JPG,Dell - The Masque of the Red Death - 410 - 1964.JPG,Dell,The Masque of the Red Death,410,1964,False,None
IMG_3266.JPG,"Dell - Walt Disney's 20,000 Leagues Under the Sea - 614 - 1954.JPG",Dell,"Walt Disney's 20,000 Leagues Under the Sea",614,1954,True,First comic adaptation of the Walt Disney film.
IMG_3267.JPG,Dell - Bugs Bunny - One-Shot - 1950.JPG,Dell,Bugs Bunny,One-Shot,1950,False,None
IMG_3268.JPG,Dell - Jason and the Argonauts - 310 - 1963.JPG,Dell,Jason and the Argonauts,310,1963,False,None
IMG_3269.JPG,Dell - Circus Boy - 813 - 1957.JPG,Dell,Circus Boy,813,1957,False,None
